date,close,open,high,low
2025-06-19,2603.16,2571.04,2604.65,2565.18
2025-06-20,2570.18,2601.6,2607.62,2570.18
2025-06-23,2591.42,2618.31,2624.32,2578.74
2025-06-24,2625.49,2663.93,2667.37,2625.49
2025-06-25,2671.68,2705.09,2707.97,2664.4
2025-06-26,2695.48,2688.8,2700.84,2681.66
2025-06-27,2685.89,2660.61,2702.8,2650.13
2025-06-30,2654.47,2646.44,2659.04,2633.56
2025-07-01,2648.07,2656.02,2656.88,2647.3
2025-07-02,2668.05,2676.32,2683.27,2663.31
2025-07-03,2680.82,2673.69,2683.7,2658.1
2025-07-04,2664.41,2681.35,2699.67,2653.64
2025-07-07,2674.67,2673.51,2678.66,2663.34
2025-07-08,2677.01,2687.29,2690.72,2674.09
2025-07-09,2681.98,2666.18,2685.8,2664.87
2025-07-10,2666.34,2700.26,2710.88,2666.34
2025-07-11,2699.52,2704.31,2755.23,2699.52
2025-07-14,2708.81,2714.03,2726.96,2708.81
2025-07-15,2721.31,2705.1,2731.28,2684.4
2025-07-16,2704.15,2695.47,2709.5,2685.01
2025-07-17,2694.66,2691.9,2703.19,2688.69
2025-07-18,2701.17,2721.42,2721.42,2696.09
2025-07-21,2731.32,2743.28,2743.47,2727.84
2025-07-22,2748.59,2763.27,2763.27,2723.91
2025-07-23,2777.15,2783.27,2797.24,2766.04
2025-07-24,2780.55,2801.98,2809.06,2776.56
2025-07-25,2794.85,2775.13,2797.78,2772.09
2025-07-28,2774.79,2779.33,2802.09,2765.81
2025-07-29,2772.5,2773.74,2781.31,2756.13
2025-07-30,2764.89,2774.79,2799.4,2758.83
2025-07-31,2754.94,2713.4,2754.94,2707.06
2025-08-01,2706.03,2686.74,2719.85,2683.14
2025-08-04,2680.98,2710.34,2711.41,2680.98
2025-08-05,2710.19,2735.22,2739.39,2710.19
2025-08-06,2734.33,2735.02,2750.05,2729.36
2025-08-07,2740.26,2751.0,2753.84,2729.2
2025-08-08,2745.56,2742.11,2754.89,2736.94
2025-08-11,2747.54,2740.3,2749.27,2731.73
2025-08-12,2739.66,2755.98,2764.22,2739.63
2025-08-13,2766.16,2779.27,2786.01,2759.65
2025-08-14,2783.96,2784.76,2813.39,2779.14
2025-08-15,2775.11,2786.59,2795.65,2760.62
2025-08-18,2791.99,2786.87,2811.71,2783.42
2025-08-19,2792.27,2769.54,2803.98,2765.61
2025-08-20,2761.35,2789.62,2792.07,2751.02
2025-08-21,2798.85,2799.33,2809.84,2789.83
2025-08-22,2800.59,2819.42,2819.47,2787.37
2025-08-25,2842.14,2866.71,2869.05,2834.56
2025-08-26,2862.44,2844.84,2869.53,2844.84
2025-08-27,2852.39,2792.86,2852.95,2790.51
2025-08-28,2788.65,2807.92,2810.52,2770.75
2025-08-29,2817.1,2819.97,2857.61,2817.1
2025-09-01,2823.8,2819.53,2834.14,2808.9
2025-09-02,2816.49,2826.98,2839.53,2809.25
2025-09-03,2841.05,2798.65,2848.67,2786.1
2025-09-04,2803.47,2769.71,2803.47,2746.67
2025-09-05,2768.24,2801.44,2805.83,2765.36
2025-09-08,2810.51,2806.07,2823.34,2795.94
2025-09-09,2806.14,2816.78,2836.88,2802.41
2025-09-10,2811.76,2823.41,2835.34,2802.54
2025-09-11,2808.1,2842.21,2845.69,2799.91
2025-09-12,2855.89,2831.91,2857.89,2826.1
2025-09-15,2839.93,2841.28,2863.41,2832.79
2025-09-16,2848.44,2829.63,2853.05,2815.53
2025-09-17,2831.58,2859.62,2859.79,2828.38
2025-09-18,2856.06,2808.93,2856.57,2785.48
2025-09-19,2802.13,2808.66,2819.37,2797.37
2025-09-22,2816.04,2793.68,2816.04,2779.36
2025-09-23,2793.23,2786.4,2806.58,2765.6
2025-09-24,2782.67,2797.04,2800.62,2773.62
2025-09-25,2798.7,2801.21,2812.31,2790.32
2025-09-26,2785.96,2787.55,2807.26,2784.96
2025-09-29,2796.96,2844.42,2865.68,2794.05
2025-09-30,2844.58,2858.48,2858.88,2836.11
2025-10-02,2855.75,2863.34,2866.07,2855.75
2025-10-03,2857.75,2857.41,2860.44,2850.6
2025-10-06,2853.03,2853.2,2859.59,2851.07
2025-10-08,2853.7,2851.72,2854.84,2839.64
2025-10-09,2857.96,2896.92,2899.99,2846.7
2025-10-10,2878.51,2863.02,2899.99,2856.38
2025-10-13,2793.22,2845.9,2845.9,2793.22
2025-10-14,2864.8,2829.86,2884.03,2819.1
2025-10-15,2845.53,2881.85,2883.89,2837.21
2025-10-16,2877.23,2902.32,2911.81,2876.12
2025-10-17,2906.73,2847.93,2913.15,2843.05
2025-10-20,2876.96,2871.36,2879.8,2856.1
2025-10-21,2886.4,2903.22,2919.2,2877.49
2025-10-22,2884.15,2894.57,2898.53,2875.11
2025-10-23,2888.62,2915.98,2918.93,2873.79
2025-10-24,2923.16,2930.67,2934.55,2914.35
2025-10-27,2953.57,2959.46,2966.99,2942.04
2025-10-28,2957.73,2941.85,2960.37,2936.1
2025-10-29,2940.71,2962.56,2962.93,2940.42
2025-10-30,2971.04,2955.04,2990.97,2948.96
2025-10-31,2950.03,2913.1,2950.95,2913.1
2025-11-03,2914.98,2926.54,2928.22,2899.93
2025-11-04,2916.57,2912.25,2932.75,2901.5
2025-11-05,2887.71,2918.25,2925.55,2876.43
2025-11-06,2923.59,2963.61,2964.14,2923.59
2025-11-07,2958.27,2960.13,2968.35,2955.49
2025-11-10,2964.79,2988.66,2991.61,2961.5
2025-11-11,2995.59,2978.83,2999.07,2964.92
2025-11-12,2985.33,2996.02,3012.6,2981.9
2025-11-13,2997.37,3046.57,3047.38,2997.37
2025-11-14,3021.46,3005.24,3040.56,3003.62
2025-11-17,2992.05,2969.21,2994.02,2957.24
2025-11-18,2956.86,2928.36,2959.91,2918.95
2025-11-19,2930.77,2949.89,2963.87,2930.77
2025-11-20,2964.29,2942.0,2971.28,2935.34
2025-11-21,2916.32,2878.16,2922.45,2876.67
2025-11-24,2894.06,2884.93,2898.32,2872.73
2025-11-25,2901.86,2914.6,2921.94,2895.7
2025-11-26,2931.44,2921.86,2934.91,2917.53
2025-11-27,2922.45,2922.05,2939.51,2910.32
2025-11-28,2923.38,2916.36,2925.11,2901.62
2025-12-01,2928.32,2947.71,2947.71,2926.59
2025-12-02,2947.76,2943.18,2953.39,2930.46
2025-12-03,2937.25,2917.07,2945.84,2913.42
2025-12-04,2927.5,2928.41,2933.39,2911.62
2025-12-05,2927.97,2967.57,2969.1,2923.37
2025-12-08,2975.76,2966.01,2984.07,2960.01
2025-12-09,2959.31,2930.64,2960.1,2925.7
2025-12-10,2930.62,2926.31,2932.88,2908.33
2025-12-11,2936.51,2921.4,2951.78,2913.83
2025-12-12,2933.22,2947.93,2949.44,2915.3
2025-12-15,2930.09,2943.93,2965.64,2925.87
2025-12-16,2938.93,2902.8,2945.68,2897.6
2025-12-17,2904.91,2939.82,2952.97,2900.81
2025-12-18,2932.68,2943.93,2945.26,2922.69
2025-12-19,2947.94,2955.69,2963.57,2934.45
2025-12-22,2964.4,2967.4,2971.5,2957.57
2025-12-23,2975.02,2980.31,3000.75,2972.12
2025-12-24,2981.95,2979.88,2981.95,2964.5
2025-12-25,2974.92,2986.28,2989.6,2972.29
2025-12-26,2988.55,3001.82,3009.57,2987.98
2025-12-29,3014.47,2993.69,3022.47,2990.49
2025-12-30,2979.99,3003.69,3013.51,2975.15
2025-12-31,3001.79,3002.25,3013.41,2997.0
2026-01-02,3004.13,3024.07,3024.07,2999.59
2026-01-05,3033.49,3057.41,3062.79,3027.43
2026-01-06,3067.23,3114.84,3117.14,3062.34
2026-01-07,3111.72,3096.27,3114.01,3082.69
2026-01-08,3085.61,3069.21,3085.61,3049.32
2026-01-09,3072.91,3082.74,3099.31,3072.01
2026-01-12,3098.74,3089.89,3098.74,3056.78
2026-01-13,3104.57,3107.4,3136.13,3097.27
2026-01-14,3108.95,3081.37,3122.48,3070.66
